Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,physiotype,library
prerank,N-Glycan biosynthesis,0.6604730473634532,2.458026209042592,0.0,0.0,0.0,30/50,17.15%,FUT8;ALG1;ST6GAL1;SRD5A3;ALG12;DOLPP1;DPAGT1;MOGS;DPM2;DOLK;B4GALT2;MGAT4B;DDOST;RPN2;MAN1B1;B4GALT3;MGAT5;ALG3;MAN1C1;STT3B;MGAT1;STT3A;MAN2A1;ALG2;TUSC3;B4GALT1;ALG5;DPM3;MAN1A2;ALG8,1,KEGG_2021_Human
prerank,Arginine and proline metabolism,0.6748067792257411,2.4346644215512048,0.0,0.0,0.0,29/50,12.70%,AOC1;ALDH18A1;PYCR1;AZIN2;PRODH;P4HA3;GOT1;SAT1;AGMAT;OAT;CKMT1B;PYCR3;ALDH4A1;CKMT1A;SMOX;SRM;ARG2;NOS3;PYCR2;CARNS1;MAOA;ALDH3A2;CKM;CNDP2;GAMT;GOT2;CKB;ODC1;ALDH1B1,1,KEGG_2021_Human
prerank,Arachidonic acid metabolism,0.6606231944736924,2.4317013349637664,0.0,0.0,0.0,35/61,20.07%,GGT5;PLA2G2D;PLA2G4A;PLA2G4E;PRXL2B;PLA2G2C;PLA2G10;PLA2G2F;GPX2;PTGES;PLA2G2A;PTGES2;ALOX15B;PLA2G6;PLB1;CYP2J2;CBR1;TBXAS1;GPX8;ALOX15;CYP2E1;PTGS2;GPX7;ALOX12B;PTGDS;GGT1;CYP2C9;EPHX2;JMJD7-PLA2G4B;AKR1C3;CYP2C8;LTC4S;PLA2G5;PLA2G12B;PLA2G4D,1,KEGG_2021_Human
prerank,Intestinal immune network for IgA production,0.6893914605536917,2.423166018210263,0.0,0.0,0.0,29/45,19.27%,TNFRSF13C;TNFRSF13B;TNFRSF17;CD28;CXCR4;HLA-DOB;CD40LG;PIGR;ITGB7;MADCAM1;AICDA;HLA-DMA;CCL25;TGFB1;LTBR;IL2;HLA-DQB1;IL10;IL4;ITGA4;HLA-DQA1;TNFSF13;HLA-DPB1;ICOS;HLA-DRB1;HLA-DOA;ICOSLG;TNFSF13B;HLA-DMB,1,KEGG_2021_Human
prerank,Th1 and Th2 cell differentiation,0.609529586717873,2.416474046336336,0.0,0.0,0.0,47/90,16.64%,JAK3;CD3E;ZAP70;HLA-DOB;NOTCH3;LCK;CD3D;MAML1;TYK2;IL12B;IL2RB;RUNX3;IL2RA;CD3G;IL2RG;NFKBIE;DLL4;IL4R;FOS;JAG2;MAPK13;LAT;STAT4;CD247;CD4;STAT6;HLA-DMA;PLCG1;IL2;MAPK11;HLA-DQB1;NFATC1;NFKBIB;MAML3;MAF;NOTCH1;MAPK12;IL4;HLA-DQA1;STAT1;NFKB1;IKBKB;IFNGR2;HLA-DPB1;HLA-DRB1;NFATC2;HLA-DOA,1,KEGG_2021_Human
prerank,Glycerophospholipid metabolism,0.5980989186595262,2.4119760504559355,0.0,0.0,0.0,41/98,11.40%,PLPP2;DGKA;PLD4;ACHE;PLA2G2D;PLA2G4A;PLA2G4E;PLA2G2C;DGKQ;LYPLA2;MBOAT7;PLA2G10;PLA2G2F;LPIN2;PLA2G2A;AGPAT2;AGPAT1;MBOAT1;LPGAT1;PLPP5;GPCPD1;PLA2G6;PLD2;AGPAT3;LPCAT1;PLB1;PTDSS2;DGKZ;ETNPPL;LPIN1;CDIPT;PNPLA7;LPCAT4;DGKD;PLPP4;ETNK2;PLD3;CHKB;LPIN3;TAZ;GNPAT,1,KEGG_2021_Human
prerank,Complement and coagulation cascades,0.5865775940289627,2.4084771911506904,0.0,0.0,0.0,36/85,11.41%,CR2;SERPINF2;C1R;C4B;C4BPA;CFB;C3;C7;CFI;C1S;FGG;C4A;F5;PROC;FGB;SERPINA1;FGA;C8A;BDKRB2;CD46;CR1;F12;C4BPB;CFHR3;A2M;SERPINA5;C6;C5;PLAU;CLU;PLAUR;F13A1;SERPIND1;CFH;PLAT;SERPING1,1,KEGG_2021_Human
prerank,Lysosome,0.578867770502478,2.4071998738661833,0.0,0.0,0.0,56/128,17.02%,CTSE;LGMN;NAPSA;ENTPD4;ARSA;SGSH;IDUA;AP1G2;AP1B1;FUCA1;CTNS;ACP2;GUSB;AGA;CTSZ;CTSD;CTSK;NAGLU;HGSNAT;GGA1;ABCA2;SMPD1;AP3D1;AP1M2;MAN2B1;CD63;CTSA;AP4B1;ATP6V0A4;NAGA;GNPTG;TCIRG1;NAGPA;LAPTM4B;NPC2;CTSB;GALNS;ABCB9;ATP6AP1;SLC11A2;LITAF;TPP1;AP3S2;GLB1;AP1S3;ATP6V0D2;AP1S1;CTSH;GGA3;ATP6V0C;NEU1;ARSB;GBA;LAPTM4A;CTSG;CLTB,1,KEGG_2021_Human
prerank,Glycosaminoglycan biosynthesis,0.6567004421111288,2.3852764381229172,0.0,0.0,0.0,29/53,15.49%,HS3ST1;CHPF;HS6ST2;CHST15;FUT8;EXTL1;CHPF2;HS6ST1;HS3ST2;B4GALT7;XYLT1;CHST6;XYLT2;B4GALT2;CHST1;B3GNT7;B4GALT3;ST3GAL1;B3GALT6;CHST12;GLCE;B4GALT4;CHST2;B3GAT3;CHST13;EXTL3;CHST4;B4GALT1;CHST14,1,KEGG_2021_Human
prerank,Notch signaling pathway,0.6230496744828927,2.3849228989213533,0.0,0.0,0.0,30/59,13.48%,DTX2;NOTCH3;DTX1;LFNG;KAT2A;MAML1;TLE2;TLE3;TLE6;DLL4;HDAC1;HEYL;JAG2;CTBP1;HES1;CTBP2;DTX4;NCSTN;DTX3;APH1A;CREBBP;PSENEN;DVL3;RFNG;MAML3;PSEN2;NCOR2;NOTCH1;DVL1;PSEN1,1,KEGG_2021_Human
