B_cells,T_cells,CD8_T_cells,Cytotoxic,NK_cells,Monocytic,Myeloid_DC,Neutrophils,Endothelial,Fibroblasts,cytolytic,Tcell_inflamed_GEP18,B_cell_sig,proliferation,stroma,hypoxia,EMT,sample,tissue,physiotype,case_id
1.5600929086564819,1.6181818072803356,1.1519821862495996,1.54579189333248,1.4789611371417701,2.4011763614761734,1.8139505430040792,1.947497024770786,3.495412999338856,4.994988042228148,1.1285929602206703,2.4352780673361045,2.2205102007864106,3.6160140159359964,5.345005361762403,3.494593589022461,2.5495172815541483,00d461ae-a1d8-42f2-abd8-5e159363d857.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-44-2666
1.7377170446969867,2.274599895557061,1.848059133032158,2.182739907484496,1.6031482763164875,3.463087921980072,2.5067703281182454,2.0047056930905365,3.629030217248164,5.295704536572251,2.0814237244678693,3.617321109389523,3.124447022153409,4.335458976560096,7.05159347500101,5.022035466693925,2.995095904060075,00fabec9-d311-4994-a7e5-eb91178d14f2.rna_seq.augmented_star_gene_counts.tsv,Tumor,2,TCGA-69-A59K
2.0853257127362492,1.9793645030064793,1.4571381004126358,1.798016862322513,1.5180092678885002,3.285462324888489,2.135668385157133,2.103431221903316,3.9140618916216763,5.94080310859182,1.893346151478248,2.5579508558820265,3.224588188863648,4.062897652802833,6.9104211069924135,4.220543852374619,3.885812804337416,01ebdef8-920f-4b71-8b44-512598962d6b.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-99-8032
0.8414082320092683,2.009105037809708,1.568914205358713,1.7846892075323453,1.3693789734303219,3.5977360023799725,2.1355253689125293,2.1246365472180218,3.045168129101917,5.361309410985224,1.9734901735212018,3.693434908184306,1.9816049748013618,5.060447062817498,6.512346239298996,4.849567167476836,3.3780688094714577,020a2284-03f3-4439-89bb-2292ebc3ecd2.rna_seq.augmented_star_gene_counts.tsv,Tumor,2,TCGA-95-7562
1.554630833583926,2.725828969630314,2.276751711428017,2.6443849169416755,2.0942765849614555,4.259335768455059,2.7855907945353686,2.42458609342943,4.332667876186734,6.3510155074849814,3.3532052387954314,3.943807706892381,2.437509529313953,4.999077289522248,7.423569273504623,4.279972686526824,4.100628848239218,02f6c9d4-8296-4e00-9e78-4f4d8c942340.rna_seq.augmented_star_gene_counts.tsv,Tumor,3,TCGA-91-6848
2.112225546784473,2.560861616821746,1.7779855083973608,2.377473377222954,1.756487248479381,3.9392640649178476,2.6163916926374013,2.304751256137924,3.6845098681996657,5.519363231048297,2.254353240776094,3.412634779686373,3.1770721860225355,4.0011721040887185,6.302658108714288,3.6866130703442175,3.1521149837904168,0326e97a-2ec7-4038-98f3-03d94962d869.rna_seq.augmented_star_gene_counts.tsv,Tumor,2,TCGA-97-7546
1.1781431128927256,2.2048752323135727,2.1670610577433904,2.224064415891911,1.9158605078409863,3.108889160168577,2.023285738557231,1.914266923294609,2.0072338094704136,4.225391886313136,2.4193510804871696,3.4759009823904155,2.191165778213662,4.555739740383561,5.240517678081747,5.574581986034014,3.4676850816033933,03c7ece7-500d-4c38-a600-bd6863562bfd.rna_seq.augmented_star_gene_counts.tsv,Tumor,3,TCGA-49-AARQ
2.4605107243962547,2.055444627570894,1.3383484010700488,1.6767353269358483,1.3210912281510399,2.995332205263343,2.23020481997966,1.8874299739566545,2.9287646407612273,5.306325029780904,1.5201867645431029,2.6057082584234355,3.131195931971201,3.9521501828218835,6.2201013530416835,3.8229545912364675,2.733161741414251,044b4834-bb51-40c8-8027-e5d752fa8787.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-55-8616
1.7398265620169704,1.9732747889657967,1.4193826082921857,1.8980534033908454,1.438864345762,3.590752113413078,2.9194777637444167,2.198060858163681,3.780080156573193,5.360403615896392,1.9741875244726046,3.450337611185522,2.2205858983276823,3.6825003691095697,6.602741145897543,4.243116861505656,3.187407413953891,04c4affd-ca5d-4ea4-95d1-a6502e80d1af.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-64-1681
1.928640331510373,2.357819161174262,1.865368553724585,2.1680502011591765,1.614679681653658,3.4107620586506497,2.4370473183464663,2.163911366314484,2.742098039425492,4.271939114481556,2.6443800895772687,3.2051713812065863,2.8658246612994707,3.6725090176555275,5.245659899309588,4.272086381262816,2.6735134364909587,04ce9fac-b5f3-4830-935e-9d6ea74ee915.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-MP-A4T6
1.0334450636048973,2.3193638502302485,2.3998572850681055,3.375019753333279,2.433415781125838,4.650771916355436,3.1936471841365406,2.8355976748108906,4.687793475629547,5.119146625468125,3.4265594099329446,3.5813992265917736,1.4436872631600404,3.0596634265013547,6.021789151547466,3.411834924665133,2.748449025533358,050f4ef1-e774-490e-9450-8f2d473b1a21.rna_seq.augmented_star_gene_counts.tsv,Normal,2,TCGA-73-4676
0.6368521873335679,1.4144201670839238,1.2119477296061973,1.8845367681870144,1.3123258447337958,2.380705288194631,1.4942904041693983,1.2125878514568078,3.880942561254471,4.345755091467641,1.8866474674105527,2.544796795842908,0.8831688558941005,3.2918239273801486,4.882175974816417,3.1827344502791886,2.490452663730843,059b5dc1-45f7-4d7c-b07a-878b6db6d881.rna_seq.augmented_star_gene_counts.tsv,Tumor,3,TCGA-78-7156
0.8567927295931367,1.8292620081172317,1.6208258900031092,2.3505338396933126,1.6187130696196728,3.9160131987134834,2.8707148089055403,2.1710791128872238,4.126597391335298,5.083128434239211,2.4256997191499505,3.2561289893039547,1.1432417773991408,3.286352826736545,6.011171339774508,3.140556978239241,2.923420417093763,05ca3ffd-a4d9-4667-80e2-d15125e88f7c.rna_seq.augmented_star_gene_counts.tsv,Tumor,2,TCGA-97-A4M1
2.1566198420242744,2.8074523145697303,2.305664093511218,2.5385249106705636,1.9005664461874627,3.7513828691551483,2.455585128059911,2.185662607073302,2.824816418457339,4.987380065362859,3.042449558564732,4.059036673481829,3.385577953800886,5.187267505217257,5.990897893673342,5.946151137811379,4.1856704610045385,06770623-6a10-4874-9eea-1497077f18ac.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-55-A4DF
2.767888569907706,2.1527360177154686,1.5823452946677574,2.0235817904418227,1.6329184220800101,3.5013614234370753,2.4367752849644986,2.272292957021465,3.6527006248618465,6.140852476337019,2.2580505789741947,2.9733832480081572,3.662037730019218,5.123674647344534,6.829097831372714,4.397411800191223,3.2610650388279447,068ba2ae-288c-446d-8d17-72445ce4f788.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-93-A4JN
0.45074130661174266,0.8848986243099031,0.790327477942417,1.599894303794413,1.0825624365506348,2.633387724898649,1.5347562645875548,1.461284343962647,4.440086242716761,4.825184556174939,1.4523943437423013,1.9664312933919794,0.6051313111590674,3.7529688757993735,5.505623041535365,3.702566492245766,2.410292301616491,06c83065-5800-451a-84a7-7a7f352493ec.rna_seq.augmented_star_gene_counts.tsv,Tumor,3,TCGA-78-7633
0.7657555391110955,1.660007559940229,1.236258997868624,1.8811152369990236,1.2841040769042305,3.861878610765124,1.9128340740420833,2.2040502338098134,3.229133942271221,5.172997489132314,1.5308850604922597,2.676798042232876,1.131161198043826,4.230833433844833,6.354716629906297,5.981393110817773,3.2513305925138964,06deab65-ccea-473f-ad0e-7e3928df2e07.rna_seq.augmented_star_gene_counts.tsv,Tumor,2,TCGA-05-4426
0.8772050222286089,1.9421174113953164,2.0480179566715306,2.9032177570697244,2.20941824786785,4.25708726138125,2.854756408369376,2.4873400708083637,4.912765239286064,5.637658872553939,3.355146454115059,3.2312350612691976,1.0875401086200016,3.1619928047558794,6.3135123134908735,3.1838207265063687,3.069125821851717,06f0836c-ae3f-4c83-bb20-a5a74796bb11.rna_seq.augmented_star_gene_counts.tsv,Normal,2,TCGA-50-5932
0.9773347953884417,2.134282392845645,1.9155543533240649,2.537971710229857,1.7600340852041445,4.489777972349934,3.061763005663825,2.691400494134116,4.398279427827973,5.149270091324666,2.6671070812035333,3.4021238853154916,0.9554769548254682,2.8990181157047665,5.945412248243556,3.186691832941902,2.8892177869456757,07a66ae7-6b95-4d57-b308-dcb30672b6b9.rna_seq.augmented_star_gene_counts.tsv,Normal,3,TCGA-55-6971
1.9552456745301476,2.1192825986330153,1.753939252394216,2.5679731129221253,2.0209094638567127,3.9228453620724317,2.778931989689665,2.472715507904882,4.140362479697712,5.878886513346662,2.7896612780682126,3.1988471742444635,2.5859867125296434,3.7674928599702273,6.667306904627414,4.163648422890147,3.08414167751619,07c5dadf-e801-4c1f-9109-7a2495407c75.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-97-A4M5
1.6023543732638132,2.301652605178185,2.1816560265110962,2.6702433432036776,1.9091816365249938,4.036768864589821,2.4055471577709495,2.8052754743436057,4.336326849061728,5.951972086810746,2.8899103589947877,3.646068167084135,2.1747615446128163,4.219553685419885,6.739182056777409,4.320992898872301,3.1848214618018265,07c8891d-1917-45f8-bd1d-4c59d1baafaa.rna_seq.augmented_star_gene_counts.tsv,Tumor,1,TCGA-91-6830
