B_cells,CD8_T,CD4_T,NK,Mono_Macro,DC,Neutrophils,Mast,Endothelial,Fibroblasts,sample,physiotype,case_id,nnls_r2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,094bd5ef-b1ca-46c6-b717-2519e5a6151b.rna_seq.augmented_star_gene_counts.tsv,3,TCGA-71-6725,1.5987211554602254e-14
0.0,0.3421376660636628,0.12941264486890236,0.06054250861357494,0.18097634839248003,0.041926330468125855,0.24500450159296439,0.0,0.0,0.0,09728f38-787f-4868-b28d-8cf6afa3c71b.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-05-5425,0.37563192357694886
0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999921494,0.0,0.0,0.0,0a11e8dc-5d34-4fcb-b2dc-aa57b4e90fc9.rna_seq.augmented_star_gene_counts.tsv,3,TCGA-78-7146,0.0029103239492781485
0.0,0.0,0.0,0.9999999999982747,0.0,0.0,0.0,0.0,0.0,0.0,0a4e0b83-7afa-475b-8586-e9e79e31d6d2.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-62-A471,0.04835793864908333
0.007614019688428051,0.05406477386713503,0.1383253285666602,0.10154908176487126,0.2278086960340917,0.10812887163660302,0.21680748865854418,0.0,0.14570173978346324,0.0,0a5dab01-33ff-41d1-8842-7b7f18a6efe0.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-91-6828,0.39531458878317305
0.4380845409402316,0.0,0.2400170696283224,0.3218983894307547,0.0,0.0,0.0,0.0,0.0,0.0,0b55cf48-41ca-4d54-a6c6-fa15c711370b.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-44-3917,0.09217970738711223
0.030325957364805766,0.5735460971738975,0.07264912764942975,0.1542803102584397,0.16629016651893455,0.0,0.0,0.0,0.0,0.002908341034046722,0ba8665b-be52-4288-838a-8f5d189f809d.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-49-AAR3,0.36036535177503937
0.01122261379826214,0.0,0.07969449941197587,0.0,0.35662509181711316,0.14303146891576868,0.04270688230597659,0.0,0.1570154476177806,0.20970399613299948,0bb88c14-58c0-45d8-a8f3-f41840f62d37.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-44-6777,0.6340324523023286
0.0,0.0,0.004286455964171986,0.0,0.0,0.0,0.0,0.3061627208536954,0.19681519929897653,0.49273562388262193,0e3e11b9-9f43-4a0d-8665-023fae9f8b00.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-38-6178,0.3710962860570357
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0f6c0159-7342-4519-83f5-52c2d457c4f8.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-78-7147,3.0753177782116836e-14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6855635438947814,0.0,0.3144364561040126,1084d48c-88e8-4d67-9049-d0e4cd7f9535.rna_seq.augmented_star_gene_counts.tsv,3,TCGA-62-A46V,0.08788676247802074
0.4821191110894209,0.05649855970896269,0.038847554473014814,0.0,0.0,0.014797829411658792,0.0,0.32453555005315554,0.08320139526344893,0.0,1205cc6a-c42f-44c8-bf1c-84ef49eaaee4.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-50-8457,0.519447168216894
0.03255817638465017,0.23676354717135242,0.29320375495655465,0.004919342202428922,0.010731473601333258,0.1470724509654529,0.0,0.0,0.21515406840630982,0.0595971863117179,129a4f1c-81ee-4ebb-8c97-0a60fcc114d6.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-99-7458,0.5481357466811587
